genus,species,rank,infra_epithet,scientific_name,common_names,fnct_page,source
Sarracenia,alata,species,,Sarracenia alata,Yellow Trumpet; Pitcher Plant,983,"Diggs, Lipscomb & O'Kennon 1999, p. 983"
Sassafras,albidum,species,,Sassafras albidum,Sassafras,786,"Diggs, Lipscomb & O'Kennon 1999, p. 786"
Saururus,cernuus,species,,Saururus cernuus,Lizard’s-Tail; Water-Dragon; Swamp-Lily,986,"Diggs, Lipscomb & O'Kennon 1999, p. 986"
Saxifraga,texana,species,,Saxifraga texana,Texas Saxifrage,988,"Diggs, Lipscomb & O'Kennon 1999, p. 988"
Scabiosa,atropurpurea,species,,Scabiosa atropurpurea,Pincushions; Sweet Scabious,576,"Diggs, Lipscomb & O'Kennon 1999, p. 576"
Scandix,pecten-veneris,species,,Scandix pecten-veneris,Venus’-Comb; Crow-Needles; Shepherd’s-Needle; Lady’s-Comb,260,"Diggs, Lipscomb & O'Kennon 1999, p. 260"
Schedonnardus,paniculatus,species,,Schedonnardus paniculatus,Tumble Grass; Texas Crab Grass,1316,"Diggs, Lipscomb & O'Kennon 1999, p. 1316"
Schizachyrium,scoparium,species,,Schizachyrium scoparium,,1239,"Diggs, Lipscomb & O'Kennon 1999, p. 1239"
Schizachyrium,scoparium,subspecies,hallii,Schizachyrium scoparium subsp. hallii,Sand Bluestem,1239,"Diggs, Lipscomb & O'Kennon 1999, p. 1239"
Schoenocaulon,drummondii,species,,Schoenocaulon drummondii,,1210,"Diggs, Lipscomb & O'Kennon 1999, p. 1210"
Schoenocaulon,texanum,species,,Schoenocaulon texanum,Texas Sabadilla,1210,"Diggs, Lipscomb & O'Kennon 1999, p. 1210"
Schoenoplectus,acutus,species,,Schoenoplectus acutus,Hard-Stem Bulrush; Alkali Tule,1161,"Diggs, Lipscomb & O'Kennon 1999, p. 1161"
Schoenoplectus,californicus,species,,Schoenoplectus californicus,California Bulrush; Giant Bulrush; Tule; California Tule,1161,"Diggs, Lipscomb & O'Kennon 1999, p. 1161"
Schoenoplectus,pungens,species,,Schoenoplectus pungens,American Bulrush; Swordgrass; Three-Square Bulrush,1161,"Diggs, Lipscomb & O'Kennon 1999, p. 1161"
Schoenoplectus,saximontanus,species,,Schoenoplectus saximontanus,Rocky Mountain Bulrush,1161,"Diggs, Lipscomb & O'Kennon 1999, p. 1161"
Schoenoplectus,tabernaemontani,species,,Schoenoplectus tabernaemontani,Great Bulrush; Soft-Stem Bulrush; Giant Tule,1161,"Diggs, Lipscomb & O'Kennon 1999, p. 1161"
Scirpus,atrovirens,species,,Scirpus atrovirens,Pale Bulrush,1162,"Diggs, Lipscomb & O'Kennon 1999, p. 1162"
Scirpus,cyperinus,species,,Scirpus cyperinus,Woolly-Grass Bulrush,1162,"Diggs, Lipscomb & O'Kennon 1999, p. 1162"
Scirpus,georgianus,species,,Scirpus georgianus,,1162,"Diggs, Lipscomb & O'Kennon 1999, p. 1162"
