genus,species,rank,infra_epithet,scientific_name,common_names,fnct_page,source
Abelmoschus,esculentus,species,,Abelmoschus esculentus,Okra; Gumbo; Gobo; Gombo; Lady’s-Finger; Bandakai; Gobbo,806,"Diggs, Lipscomb & O'Kennon 1999, p. 806"
Abronia,ameliae,species,,Abronia ameliae,Amelia’s Sand-Verbena,836,"Diggs, Lipscomb & O'Kennon 1999, p. 836"
Abronia,fragrans,species,,Abronia fragrans,Sand-Verbena; Sweet Sand-Verbena; Snowball; Lasater’s-Pride,836,"Diggs, Lipscomb & O'Kennon 1999, p. 836"
Abutilon,fruticosum,species,,Abutilon fruticosum,Indian-Mallow; Pelotazo,806,"Diggs, Lipscomb & O'Kennon 1999, p. 806"
Abutilon,theophrasti,species,,Abutilon theophrasti,Indian-Mallow; Velvet-Leaf Butterprint; Chingma,806,"Diggs, Lipscomb & O'Kennon 1999, p. 806"
Acacia,angustissima,variety,hirta,Acacia angustissima var. hirta,Fern Acacia; Prairie Acacia; White-Ball Acacia,624,"Diggs, Lipscomb & O'Kennon 1999, p. 624"
Acacia,farnesiana,species,,Acacia farnesiana,Huisache; Sweet Acacia,624,"Diggs, Lipscomb & O'Kennon 1999, p. 624"
Acacia,greggii,species,,Acacia greggii,,624,"Diggs, Lipscomb & O'Kennon 1999, p. 624"
Acacia,greggii,variety,greggii,Acacia greggii var. greggii,Catclaw; Catclaw Acacia; Devil’s-Claw,625,"Diggs, Lipscomb & O'Kennon 1999, p. 625"
Acacia,greggii,variety,wrightii,Acacia greggii var. wrightii,Catclaw; Wright’s Acacia; Joint-Vetch; Uña De Gato; Huisachillo,625,"Diggs, Lipscomb & O'Kennon 1999, p. 625"
Acacia,roemeriana,species,,Acacia roemeriana,Roemer’s Acacia; Catclaw,625,"Diggs, Lipscomb & O'Kennon 1999, p. 625"
Acalypha,gracilens,species,,Acalypha gracilens,Slender Copperleaf,588,"Diggs, Lipscomb & O'Kennon 1999, p. 588"
Acalypha,monococca,species,,Acalypha monococca,Slender Oneseed Copperleaf,588,"Diggs, Lipscomb & O'Kennon 1999, p. 588"
Acalypha,ostryifolia,species,,Acalypha ostryifolia,Hop-Hornbeam Copperleaf,588,"Diggs, Lipscomb & O'Kennon 1999, p. 588"
Acalypha,phleoides,species,,Acalypha phleoides,Lindheimer’s Copperleaf,588,"Diggs, Lipscomb & O'Kennon 1999, p. 588"
Acalypha,radians,species,,Acalypha radians,Round -Croton; Yerba De La Rabia,589,"Diggs, Lipscomb & O'Kennon 1999, p. 589"
Acalypha,rhomboidea,species,,Acalypha rhomboidea,Rhomboid Copperleaf,589,"Diggs, Lipscomb & O'Kennon 1999, p. 589"
Acalypha,virginica,species,,Acalypha virginica,Virginia Copperleaf,589,"Diggs, Lipscomb & O'Kennon 1999, p. 589"
Acer,grandidentatum,variety,sinuosum,Acer grandidentatum var. sinuosum,Plateau Big-Tooth Maple; Uvalde Big-Tooth Maple; Limerock Maple,219,"Diggs, Lipscomb & O'Kennon 1999, p. 219"
Acer,negundo,species,,Acer negundo,Box-Elder; Ash-Leaf Maple; Arce; Fresno De Guajuco,219,"Diggs, Lipscomb & O'Kennon 1999, p. 219"
Acer,negundo,variety,texanum,Acer negundo var. texanum,Texas Box-Elder,220,"Diggs, Lipscomb & O'Kennon 1999, p. 220"
Acer,rubrum,species,,Acer rubrum,Red Maple; Scarlet Maple,220,"Diggs, Lipscomb & O'Kennon 1999, p. 220"
Acer,saccharinum,species,,Acer saccharinum,Silver Maple; Soft Maple,220,"Diggs, Lipscomb & O'Kennon 1999, p. 220"
Achillea,millefolium,species,,Achillea millefolium,Milfoil; Western Yarrow; Common Yarrow,308,"Diggs, Lipscomb & O'Kennon 1999, p. 308"
Acleisanthes,longiflora,species,,Acleisanthes longiflora,Angel-Trumpets; Yerba-De-La-Rabia,836,"Diggs, Lipscomb & O'Kennon 1999, p. 836"
Acmella,oppositifolia,variety,repens,Acmella oppositifolia var. repens,Creeping Spotflower,308,"Diggs, Lipscomb & O'Kennon 1999, p. 308"
Acorus,calamus,species,,Acorus calamus,Sweetflag; Calamus,1077,"Diggs, Lipscomb & O'Kennon 1999, p. 1077"
Adiantum,capillus-veneris,species,,Adiantum capillus-veneris,Venus ’-Hair Fern; Southern Maidenhair; Culantrillo,194,"Diggs, Lipscomb & O'Kennon 1999, p. 194"
Adonis,annua,species,,Adonis annua,Pheasant’s-Eye,917,"Diggs, Lipscomb & O'Kennon 1999, p. 917"
Aegilops,cylindrica,species,,Aegilops cylindrica,Jointed Goat Grass,1235,"Diggs, Lipscomb & O'Kennon 1999, p. 1235"
Aesculus,arguta,species,,Aesculus arguta,White Buckeye; Texas Buckeye; Western Buckeye,738,"Diggs, Lipscomb & O'Kennon 1999, p. 738"
Aesculus,pavia,variety,flavescens,Aesculus pavia var. flavescens,,738,"Diggs, Lipscomb & O'Kennon 1999, p. 738"
Aesculus,pavia,variety,pavia,Aesculus pavia var. pavia,Red Buckeye; Scarlet Buckeye; Firecracker-Plant,738,"Diggs, Lipscomb & O'Kennon 1999, p. 738"
Agalinis,aspera,species,,Agalinis aspera,,993,"Diggs, Lipscomb & O'Kennon 1999, p. 993"
Agalinis,auriculata,species,,Agalinis auriculata,Ear-Leaf Gerardia; Eared False Foxglove,992,"Diggs, Lipscomb & O'Kennon 1999, p. 992"
Agalinis,densiflora,species,,Agalinis densiflora,Fine-Leaf Gerardia,993,"Diggs, Lipscomb & O'Kennon 1999, p. 993"
Agalinis,edwardsiana,species,,Agalinis edwardsiana,Plateau Gerardia,993,"Diggs, Lipscomb & O'Kennon 1999, p. 993"
Agalinis,fasciculata,species,,Agalinis fasciculata,Beach Gerardia,993,"Diggs, Lipscomb & O'Kennon 1999, p. 993"
Agalinis,gattingeri,species,,Agalinis gattingeri,Gattinger's Gerardia,993,"Diggs, Lipscomb & O'Kennon 1999, p. 993"
Agalinis,heterophylla,species,,Agalinis heterophylla,Prairie Agalinis,993,"Diggs, Lipscomb & O'Kennon 1999, p. 993"
Agalinis,homalantha,species,,Agalinis homalantha,Flat-Flower Gerardia,993,"Diggs, Lipscomb & O'Kennon 1999, p. 993"
Agalinis,tenuifolia,variety,leucanthera,Agalinis tenuifolia var. leucanthera,Slender Gerardia,993,"Diggs, Lipscomb & O'Kennon 1999, p. 993"
Agave,americana,species,,Agave americana,,1080,"Diggs, Lipscomb & O'Kennon 1999, p. 1080"
Agrimonia,microcarpa,species,,Agrimonia microcarpa,Slender Groovebur; Small-Fruit Agrimony,938,"Diggs, Lipscomb & O'Kennon 1999, p. 938"
Agrimonia,parviflora,species,,Agrimonia parviflora,Many-Flower Groovebur; Many-Flower Agrimony,938,"Diggs, Lipscomb & O'Kennon 1999, p. 938"
Agrimonia,rostellata,species,,Agrimonia rostellata,Woodland Groovebur; Woodland Agrimony,938,"Diggs, Lipscomb & O'Kennon 1999, p. 938"
Agrostemma,githago,species,,Agrostemma githago,Common Corn-Cockle,513,"Diggs, Lipscomb & O'Kennon 1999, p. 513"
Agrostis,elliottiana,species,,Agrostis elliottiana,Elliott’s Bent Grass; Annual Tickle Grass,1236,"Diggs, Lipscomb & O'Kennon 1999, p. 1236"
Agrostis,hyemalis,species,,Agrostis hyemalis,Tickle Grass; Spring Bent Grass; Winter Bent Grass; Fly-Away Grass,1236,"Diggs, Lipscomb & O'Kennon 1999, p. 1236"
Agrostis,perennans,species,,Agrostis perennans,Autumn Bent Grass,1236,"Diggs, Lipscomb & O'Kennon 1999, p. 1236"
Ailanthus,altissima,species,,Ailanthus altissima,Tree-Of-Heaven; Copaltree; Smoketree,1015,"Diggs, Lipscomb & O'Kennon 1999, p. 1015"
Aira,caryophyllea,variety,capillaris,Aira caryophyllea var. capillaris,Annual Hair Grass,1236,"Diggs, Lipscomb & O'Kennon 1999, p. 1236"
Aira,caryophyllea,variety,caryophyllea,Aira caryophyllea var. caryophyllea,,1236,"Diggs, Lipscomb & O'Kennon 1999, p. 1236"
Ajuga,reptans,species,,Ajuga reptans,Carpet Ajuga; Bugle; Bugleweed,755,"Diggs, Lipscomb & O'Kennon 1999, p. 755"
Albizia,julibrissin,species,,Albizia julibrissin,Mimosa; Silktree,625,"Diggs, Lipscomb & O'Kennon 1999, p. 625"
Alcea,rosea,species,,Alcea rosea,Hollyhock; Amapola Grande,807,"Diggs, Lipscomb & O'Kennon 1999, p. 807"
Aletris,aurea,species,,Aletris aurea,Yellow Star-Grass,1194,"Diggs, Lipscomb & O'Kennon 1999, p. 1194"
Alisma,subcordatum,species,,Alisma subcordatum,Water-Plantain; Small-Flower Water-Plantain; Mud-Plantain,1086,"Diggs, Lipscomb & O'Kennon 1999, p. 1086"
Allium,ampeloprasum,species,,Allium ampeloprasum,Wild Leek,1196,"Diggs, Lipscomb & O'Kennon 1999, p. 1196"
Allium,canadense,species,,Allium canadense,Wild Onion,1196,"Diggs, Lipscomb & O'Kennon 1999, p. 1196"
Allium,canadense,variety,ecristatum,Allium canadense var. ecristatum,,1197,"Diggs, Lipscomb & O'Kennon 1999, p. 1197"
Allium,canadense,variety,fraseri,Allium canadense var. fraseri,,1197,"Diggs, Lipscomb & O'Kennon 1999, p. 1197"
Allium,canadense,variety,hyacinthoides,Allium canadense var. hyacinthoides,,1197,"Diggs, Lipscomb & O'Kennon 1999, p. 1197"
Allium,canadense,variety,mobilense,Allium canadense var. mobilense,,1197,"Diggs, Lipscomb & O'Kennon 1999, p. 1197"
Allium,cepa,species,,Allium cepa,Onion,1197,"Diggs, Lipscomb & O'Kennon 1999, p. 1197"
Allium,drummondii,species,,Allium drummondii,Drummond’s Onion; Prairie Onion,1197,"Diggs, Lipscomb & O'Kennon 1999, p. 1197"
Allium,perdulce,species,,Allium perdulce,,1197,"Diggs, Lipscomb & O'Kennon 1999, p. 1197"
Allium,runyonii,species,,Allium runyonii,Runyon’s Onion,1197,"Diggs, Lipscomb & O'Kennon 1999, p. 1197"
Allium,sativum,species,,Allium sativum,Garlic,1197,"Diggs, Lipscomb & O'Kennon 1999, p. 1197"
Allium,stellatum,species,,Allium stellatum,Prairie Onion; Wild Onion; Pink Wild Onion,1198,"Diggs, Lipscomb & O'Kennon 1999, p. 1198"
Allium,texanum,species,,Allium texanum,,1198,"Diggs, Lipscomb & O'Kennon 1999, p. 1198"
Alnus,serrulata,species,,Alnus serrulata,Hazel Alder; Common Alder; Smooth Alder,439,"Diggs, Lipscomb & O'Kennon 1999, p. 439"
Alopecurus,carolinianus,species,,Alopecurus carolinianus,Carolina Foxtail,1236,"Diggs, Lipscomb & O'Kennon 1999, p. 1236"
Alophia,drummondii,species,,Alophia drummondii,Purple Pleat-Leaf,1173,"Diggs, Lipscomb & O'Kennon 1999, p. 1173"
Aloysia,gratissima,species,,Aloysia gratissima,Common Beebush; Whitebrush; Beeblossom; Palo Amarillo; Cedrón; Poleo; Cedrón Del Monte; Niñarupá; Reseda Del Campo; Angel Favorita; Azmirillo; Organillo; Romerillo; Vara Dulce; Hierba De La Princesa,1049,"Diggs, Lipscomb & O'Kennon 1999, p. 1049"
Alternanthera,caracasana,species,,Alternanthera caracasana,Mat Chaff-Flower; Verdolaga De Puerco,222,"Diggs, Lipscomb & O'Kennon 1999, p. 222"
Alternanthera,philoxeroides,species,,Alternanthera philoxeroides,,77,"Diggs, Lipscomb & O'Kennon 1999, p. 77"
Amaranthus,acanthochiton,species,,Amaranthus acanthochiton,Greenstripe,224,"Diggs, Lipscomb & O'Kennon 1999, p. 224"
Amaranthus,albus,species,,Amaranthus albus,Tumbleweed; Tumbleweed Amaranth; White Amaranth,224,"Diggs, Lipscomb & O'Kennon 1999, p. 224"
Amaranthus,arenicola,species,,Amaranthus arenicola,Torrey’s Amaranth; Sandhill Amaranth,224,"Diggs, Lipscomb & O'Kennon 1999, p. 224"
Amaranthus,australis,species,,Amaranthus australis,Southern Water-Hemp; Southern Amaranth,226,"Diggs, Lipscomb & O'Kennon 1999, p. 226"
Amaranthus,blitoides,species,,Amaranthus blitoides,Prostrate Pigweed; Quelite Manchado,226,"Diggs, Lipscomb & O'Kennon 1999, p. 226"
Amaranthus,blitum,species,,Amaranthus blitum,,227,"Diggs, Lipscomb & O'Kennon 1999, p. 227"
Amaranthus,hybridus,species,,Amaranthus hybridus,Green Amaranth; Slender Pigweed; Slim Amaranth; Spleen Amaranth; Quelite De Cochino; Quelite Morado,226,"Diggs, Lipscomb & O'Kennon 1999, p. 226"
Amaranthus,palmeri,species,,Amaranthus palmeri,Carelessweed; Palmer’s Pigweed; Palmer’s Amaranth; Redroot,226,"Diggs, Lipscomb & O'Kennon 1999, p. 226"
Amaranthus,polygonoides,species,,Amaranthus polygonoides,Tropical Amaranth; Berlandier’s Amaranth,226,"Diggs, Lipscomb & O'Kennon 1999, p. 226"
Amaranthus,retroflexus,species,,Amaranthus retroflexus,Red-Root Pigweed; Rough Pigweed; Green Amaranth; Quelite,226,"Diggs, Lipscomb & O'Kennon 1999, p. 226"
Amaranthus,rudis,species,,Amaranthus rudis,Nuttall’s Water-Hemp; Water-Hemp,226,"Diggs, Lipscomb & O'Kennon 1999, p. 226"
Amaranthus,spinosus,species,,Amaranthus spinosus,Spiny Pigweed; Thorny Amaranth; Quelite Espinso,226,"Diggs, Lipscomb & O'Kennon 1999, p. 226"
Amblyolepis,setigera,species,,Amblyolepis setigera,Huisache Daisy,308,"Diggs, Lipscomb & O'Kennon 1999, p. 308"
Ambrosia,artemisiifolia,species,,Ambrosia artemisiifolia,Common Ragweed; Roman Wormwood; Short Ragweed; Altamisa; Hogbrake,309,"Diggs, Lipscomb & O'Kennon 1999, p. 309"
Ambrosia,bidentata,species,,Ambrosia bidentata,Southern Ragweed; Lance-Leaf Ragweed,309,"Diggs, Lipscomb & O'Kennon 1999, p. 309"
Ambrosia,confertiflora,species,,Ambrosia confertiflora,Field Ragweed; Bur-Sage,310,"Diggs, Lipscomb & O'Kennon 1999, p. 310"
Ambrosia,psilostachya,species,,Ambrosia psilostachya,Western Ragweed; Perennial Ragweed,310,"Diggs, Lipscomb & O'Kennon 1999, p. 310"
Ambrosia,trifida,variety,texana,Ambrosia trifida var. texana,Blood Ragweed; Giant Ragweed; Buffaloweed,310,"Diggs, Lipscomb & O'Kennon 1999, p. 310"
Amelanchier,arborea,species,,Amelanchier arborea,June-Berry; Service-Berry; Shad-Berry; Common Service-Berry; Downy Service-Berry,940,"Diggs, Lipscomb & O'Kennon 1999, p. 940"
Ammannia,auriculata,species,,Ammannia auriculata,Ear-Leaf Ammannia,800,"Diggs, Lipscomb & O'Kennon 1999, p. 800"
Ammannia,coccinea,species,,Ammannia coccinea,Purple Ammannia; Toothcup,800,"Diggs, Lipscomb & O'Kennon 1999, p. 800"
Ammannia,robusta,species,,Ammannia robusta,,800,"Diggs, Lipscomb & O'Kennon 1999, p. 800"
Ammi,majus,species,,Ammi majus,Greater Ammi; Bishop’s-Weed,243,"Diggs, Lipscomb & O'Kennon 1999, p. 243"
Ammoselinum,butleri,species,,Ammoselinum butleri,Butler’s Sand-Parsley,243,"Diggs, Lipscomb & O'Kennon 1999, p. 243"
Ammoselinum,popei,species,,Ammoselinum popei,Plains Sand-Parsley,243,"Diggs, Lipscomb & O'Kennon 1999, p. 243"
Amorpha,canescens,species,,Amorpha canescens,Leadplant,626,"Diggs, Lipscomb & O'Kennon 1999, p. 626"
Amorpha,fruticosa,species,,Amorpha fruticosa,False Indigo; Bastard Indigo; Indigo-Bush Amorpha,626,"Diggs, Lipscomb & O'Kennon 1999, p. 626"
Amorpha,paniculata,species,,Amorpha paniculata,Panicled Amorpha,626,"Diggs, Lipscomb & O'Kennon 1999, p. 626"
Amorpha,roemeriana,species,,Amorpha roemeriana,,626,"Diggs, Lipscomb & O'Kennon 1999, p. 626"
Ampelopsis,arborea,species,,Ampelopsis arborea,Peppervine,1066,"Diggs, Lipscomb & O'Kennon 1999, p. 1066"
Ampelopsis,cordata,species,,Ampelopsis cordata,Heart-Leaf Ampelopsis; Racoon-Grape,1066,"Diggs, Lipscomb & O'Kennon 1999, p. 1066"
Amphicarpaea,bracteata,species,,Amphicarpaea bracteata,Southern Hog-Peanut,626,"Diggs, Lipscomb & O'Kennon 1999, p. 626"
Amsinckia,menziesii,species,,Amsinckia menziesii,Small-Flower Fiddleneck,445,"Diggs, Lipscomb & O'Kennon 1999, p. 445"
Amsonia,ciliata,species,,Amsonia ciliata,,1411,"Diggs, Lipscomb & O'Kennon 1999, p. 1411"
Amsonia,ciliata,variety,tenuifolia,Amsonia ciliata var. tenuifolia,,265,"Diggs, Lipscomb & O'Kennon 1999, p. 265"
Amsonia,ciliata,variety,texana,Amsonia ciliata var. texana,Texas Slimpod; Texas Amsonia,265,"Diggs, Lipscomb & O'Kennon 1999, p. 265"
Amsonia,longiflora,variety,salpignantha,Amsonia longiflora var. salpignantha,Trumpet Slimpod,265,"Diggs, Lipscomb & O'Kennon 1999, p. 265"
Amsonia,tabernaemontana,species,,Amsonia tabernaemontana,,266,"Diggs, Lipscomb & O'Kennon 1999, p. 266"
Anagallis,arvensis,species,,Anagallis arvensis,Scarlet Pimpernel; Poorman’s-Weatherglass; Common Pimpernel; Hierba Del Pájaro; Shepherd’s -Weatherglass,912,"Diggs, Lipscomb & O'Kennon 1999, p. 912"
Anagallis,minima,species,,Anagallis minima,Chaffweed; False Pimpernel,912,"Diggs, Lipscomb & O'Kennon 1999, p. 912"
Andropogon,gerardii,species,,Andropogon gerardii,,1238,"Diggs, Lipscomb & O'Kennon 1999, p. 1238"
Andropogon,gerardii,subspecies,gerardii,Andropogon gerardii subsp. gerardii,Big Bluestem; Turkeyfoot,1238,"Diggs, Lipscomb & O'Kennon 1999, p. 1238"
Andropogon,glomeratus,species,,Andropogon glomeratus,Bushy Bluestem; Bushy Beard Grass,1239,"Diggs, Lipscomb & O'Kennon 1999, p. 1239"
Andropogon,gyrans,species,,Andropogon gyrans,Elliott’s Bluestem; Elliott’s Blue Grass,1239,"Diggs, Lipscomb & O'Kennon 1999, p. 1239"
Andropogon,ternarius,species,,Andropogon ternarius,Split-Beard Bluestem; Split-Beard Beard Grass; Feather Bluestem; Silvery Beard Grass,1239,"Diggs, Lipscomb & O'Kennon 1999, p. 1239"
Andropogon,virginicus,species,,Andropogon virginicus,Broomsedge Bluestem; Broomsedge; Virginia Bluestem; Yellowsedge Bluestem,1239,"Diggs, Lipscomb & O'Kennon 1999, p. 1239"
Androsace,occidentalis,species,,Androsace occidentalis,Western Rock-Jasmine,912,"Diggs, Lipscomb & O'Kennon 1999, p. 912"
Androstephium,coeruleum,species,,Androstephium coeruleum,Blue Funnel-Lily,1198,"Diggs, Lipscomb & O'Kennon 1999, p. 1198"
Anemia,mexicana,species,,Anemia mexicana,Mexican Fern,179,"Diggs, Lipscomb & O'Kennon 1999, p. 179"
Anemone,berlandieri,species,,Anemone berlandieri,Tenpetal Anemone,918,"Diggs, Lipscomb & O'Kennon 1999, p. 918"
Anemone,caroliniana,species,,Anemone caroliniana,Carolina Anemone,918,"Diggs, Lipscomb & O'Kennon 1999, p. 918"
Anemone,edwardsiana,species,,Anemone edwardsiana,,918,"Diggs, Lipscomb & O'Kennon 1999, p. 918"
Anemone,okennonii,species,,Anemone okennonii,,918,"Diggs, Lipscomb & O'Kennon 1999, p. 918"
Anemopsis,californica,species,,Anemopsis californica,Yerba Mansa,984,"Diggs, Lipscomb & O'Kennon 1999, p. 984"
Anethum,graveolens,species,,Anethum graveolens,Dill,243,"Diggs, Lipscomb & O'Kennon 1999, p. 243"
Anisacanthus,quadrifidus,variety,wrightii,Anisacanthus quadrifidus var. wrightii,Wright’s Anisacanthus; Hummingbird-Bush; Flame-Acanthus,212,"Diggs, Lipscomb & O'Kennon 1999, p. 212"
Another,important,species,,Another important,,88,"Diggs, Lipscomb & O'Kennon 1999, p. 88"
Another,predator,species,,Another predator,,51,"Diggs, Lipscomb & O'Kennon 1999, p. 51"
Anredera,cordifolia,species,,Anredera cordifolia,Madeira-Vine; Mignonette-Vine,434,"Diggs, Lipscomb & O'Kennon 1999, p. 434"
Antennaria,parlinii,subspecies,fallax,Antennaria parlinii subsp. fallax,Large-Leaf Pussy-Toes; Plain-Leaf Pussy-Toes,310,"Diggs, Lipscomb & O'Kennon 1999, p. 310"
Anthemis,cotula,species,,Anthemis cotula,Mayweed Chamomile; Mayweed; Dog-Fennel; Stinking Camomile; Stinkweed,310,"Diggs, Lipscomb & O'Kennon 1999, p. 310"
Antigonon,leptopus,species,,Antigonon leptopus,Queen ’s-Wreath; Coralvine; Corallita; Confederate-Vine; Coamecatl,898,"Diggs, Lipscomb & O'Kennon 1999, p. 898"
Aphanostephus,pilosus,species,,Aphanostephus pilosus,Hairy Lazy Daisy,312,"Diggs, Lipscomb & O'Kennon 1999, p. 312"
Aphanostephus,ramosissimus,species,,Aphanostephus ramosissimus,Plains Lazy Daisy; Arizona Lazy Daisy,312,"Diggs, Lipscomb & O'Kennon 1999, p. 312"
Aphanostephus,riddellii,species,,Aphanostephus riddellii,,80,"Diggs, Lipscomb & O'Kennon 1999, p. 80"
Aphanostephus,skirrhobasis,species,,Aphanostephus skirrhobasis,Arkansas Lazy Daisy,314,"Diggs, Lipscomb & O'Kennon 1999, p. 314"
Apios,americana,species,,Apios americana,Groundnut; American Potato-Bean,628,"Diggs, Lipscomb & O'Kennon 1999, p. 628"
Apocynum,cannabinum,species,,Apocynum cannabinum,Indian-Hemp; Hemp Dogbane; Prairie Dogbane; Hairy Dogbane; Smooth Dogbane; Willow Dogbane; Choctawroot,266,"Diggs, Lipscomb & O'Kennon 1999, p. 266"
Aquilegia,canadensis,species,,Aquilegia canadensis,Common Columbine; American Columbine; Wild Columbine; Canadian Columbine,918,"Diggs, Lipscomb & O'Kennon 1999, p. 918"
Arabis,canadensis,species,,Arabis canadensis,Sicklepod,459,"Diggs, Lipscomb & O'Kennon 1999, p. 459"
Arabis,petiolaris,species,,Arabis petiolaris,Brazos Rockcress,459,"Diggs, Lipscomb & O'Kennon 1999, p. 459"
Arachis,hypogaea,species,,Arachis hypogaea,Common Peanut; Peanut; Goober; Groundnut; Monkeynut; Earthnut,628,"Diggs, Lipscomb & O'Kennon 1999, p. 628"
Arbutus,xalapensis,species,,Arbutus xalapensis,Texas Madrone; Madroño; Lady’s-Leg; Naked-Indian,582,"Diggs, Lipscomb & O'Kennon 1999, p. 582"
Arenaria,benthamii,species,,Arenaria benthamii,Hilly Sandwort,514,"Diggs, Lipscomb & O'Kennon 1999, p. 514"
Arenaria,serpyllifolia,species,,Arenaria serpyllifolia,Thyme-Leaf Sandwort,514,"Diggs, Lipscomb & O'Kennon 1999, p. 514"
Argemone,albiflora,subspecies,texana,Argemone albiflora subsp. texana,White Prickly-Poppy,873,"Diggs, Lipscomb & O'Kennon 1999, p. 873"
Argemone,aurantiaca,species,,Argemone aurantiaca,,873,"Diggs, Lipscomb & O'Kennon 1999, p. 873"
Argemone,mexicana,species,,Argemone mexicana,Devil’ S -Fig; Yellow Prickly- Poppy; Cardo Santo; Chicalote; Mexican-Poppy; Thorn-Apple,874,"Diggs, Lipscomb & O'Kennon 1999, p. 874"
Argemone,polyanthemos,species,,Argemone polyanthemos,,874,"Diggs, Lipscomb & O'Kennon 1999, p. 874"
Argyrochosma,dealbata,species,,Argyrochosma dealbata,Powdery Cloak Fern; False Cloak Fern,194,"Diggs, Lipscomb & O'Kennon 1999, p. 194"
Argyrochosma,microphylla,species,,Argyrochosma microphylla,,194,"Diggs, Lipscomb & O'Kennon 1999, p. 194"
Arisaema,dracontium,species,,Arisaema dracontium,Green-Dragon; Dragonroot,1092,"Diggs, Lipscomb & O'Kennon 1999, p. 1092"
Arisaema,triphyllum,species,,Arisaema triphyllum,,1092,"Diggs, Lipscomb & O'Kennon 1999, p. 1092"
Aristida,basiramea,species,,Aristida basiramea,Fork-Tip Threeawn,1240,"Diggs, Lipscomb & O'Kennon 1999, p. 1240"
Aristida,desmantha,species,,Aristida desmantha,Curly Threeawn; Western Tripleawn; Western Threeawn,1242,"Diggs, Lipscomb & O'Kennon 1999, p. 1242"
Aristida,dichotoma,species,,Aristida dichotoma,Church-Mouse Threeawn; Poverty Grass,1242,"Diggs, Lipscomb & O'Kennon 1999, p. 1242"
Aristida,lanosa,species,,Aristida lanosa,Woolly-Sheath Threeawn; Woolly Tripleawn Grass; Woolly Threeawn,1242,"Diggs, Lipscomb & O'Kennon 1999, p. 1242"
Aristida,longespica,species,,Aristida longespica,Slim-Spike Threeawn,1242,"Diggs, Lipscomb & O'Kennon 1999, p. 1242"
Aristida,longespica,variety,geniculata,Aristida longespica var. geniculata,Kearney’s Threeawn; Plains Threeawn,1242,"Diggs, Lipscomb & O'Kennon 1999, p. 1242"
Aristida,oligantha,species,,Aristida oligantha,Oldfield Threeawn; Prairie Threeawn; Fewflower Aristida,1242,"Diggs, Lipscomb & O'Kennon 1999, p. 1242"
Aristida,purpurascens,species,,Aristida purpurascens,Arrow-Feather Threeawn; Broomsedge; Arrow Grass,1242,"Diggs, Lipscomb & O'Kennon 1999, p. 1242"
Aristida,purpurea,species,,Aristida purpurea,,1242,"Diggs, Lipscomb & O'Kennon 1999, p. 1242"
Aristida,purpurea,variety,longiseta,Aristida purpurea var. longiseta,Red Threeawn; Dogtown Grass; Long-Awned Aristida; Long-Awned Threeawn,1243,"Diggs, Lipscomb & O'Kennon 1999, p. 1243"
Aristida,purpurea,variety,nealleyi,Aristida purpurea var. nealleyi,Blue Threeawn,1243,"Diggs, Lipscomb & O'Kennon 1999, p. 1243"
Aristida,purpurea,variety,purpurea,Aristida purpurea var. purpurea,Purple Threeawn; Purple Needle Grass,1243,"Diggs, Lipscomb & O'Kennon 1999, p. 1243"
Aristida,purpurea,variety,wrightii,Aristida purpurea var. wrightii,Wright’s Threeawn; Wright’s Tripleawn Grass,1243,"Diggs, Lipscomb & O'Kennon 1999, p. 1243"
Aristolochia,reticulata,species,,Aristolochia reticulata,Texas Dutchman’s-Pipe,273,"Diggs, Lipscomb & O'Kennon 1999, p. 273"
Aristolochia,serpentaria,species,,Aristolochia serpentaria,Virginia Dutchman’s-Pipe; Virginia Snakeroot; Nash Dutchman’s-Pipe,273,"Diggs, Lipscomb & O'Kennon 1999, p. 273"
Aristolochia,tomentosa,species,,Aristolochia tomentosa,Woolly Dutchman ’s-Pipe; Pipevine,274,"Diggs, Lipscomb & O'Kennon 1999, p. 274"
Arnoglossum,plantagineum,species,,Arnoglossum plantagineum,Prairie-Plantain; Groovestem Indian-Plantain; Tuberous Indian-Plantain,314,"Diggs, Lipscomb & O'Kennon 1999, p. 314"
Artemisia,campestris,subspecies,caudata,Artemisia campestris subsp. caudata,Western Sagewort; Thread-Leaf Sagewort,315,"Diggs, Lipscomb & O'Kennon 1999, p. 315"
Artemisia,ludoviciana,subspecies,mexicana,Artemisia ludoviciana subsp. mexicana,,315,"Diggs, Lipscomb & O'Kennon 1999, p. 315"
Arundinaria,gigantea,species,,Arundinaria gigantea,Giant Cane; Southern Cane; Switch Cane,1243,"Diggs, Lipscomb & O'Kennon 1999, p. 1243"
Arundo,donax,species,,Arundo donax,Giant Reed,1243,"Diggs, Lipscomb & O'Kennon 1999, p. 1243"
Asclepias,amplexicaulis,species,,Asclepias amplexicaulis,Blunt-Leaf Milkweed,277,"Diggs, Lipscomb & O'Kennon 1999, p. 277"
Asclepias,arenaria,species,,Asclepias arenaria,Sand Milkweed,278,"Diggs, Lipscomb & O'Kennon 1999, p. 278"
Asclepias,asperula,subspecies,capricornu,Asclepias asperula subsp. capricornu,Antelope-Horns; Trailing Milkweed,278,"Diggs, Lipscomb & O'Kennon 1999, p. 278"
Asclepias,engelmanniana,species,,Asclepias engelmanniana,Engelmann’s Milkweed,278,"Diggs, Lipscomb & O'Kennon 1999, p. 278"
