id,common_name,botanical_name,growth_shape,growing_season_months,flowering_season_months,flower_color,foliage_color_spring,foliage_color_summer,foliage_color_fall,foliage_color_winter,sun_pref,water_pref,soil_pref,width_ft,height_ft,inflorescence,flower_count_hint,flower_zone,fruit_color,fruit_season_months,fruit_load,usda_symbol,usda_scientific_name_full,usda_growth_habit,usda_native_status,usda_growth_form,usda_shape_and_orientation,usda_foliage_texture,usda_foliage_porosity_summer,usda_foliage_porosity_winter,usda_leaf_retention,usda_flower_conspicuous,usda_fruit_conspicuous,usda_fall_conspicuous,usda_bloom_period,usda_active_growth_period,usda_fruit_seed_period_begin,usda_fruit_seed_period_end,usda_height_mature_ft,usda_shade_tolerance,usda_drought_tolerance,usda_moisture_use,usda_soil_coarse,usda_soil_medium,usda_soil_fine,usda_ph_min,usda_ph_max,npsot_dfw_recommended
parsley-hawthorn,parsley hawthorn,Crataegus marshallii,vase,3-8,4,#f1f1e2,,#5b7a4b,,,shade,medium,"loamy,clay",,25,,,,#b3261e,6-11,moderate,CRMA5,Crataegus marshallii Eggl.,Shrub,L48:N,Single Stem,Erect,Medium,Moderate,Porous,No,Yes,Yes,Yes,Mid Spring,Spring and Summer,Summer,Fall,25.0,Low,Low,Medium,No,Yes,Yes,5.8,7.2,no
green-hawthorn,green hawthorn,Crataegus viridis,vase,3-8,3,#f1f1e2,,,,,full-sun,high,"loamy,clay",,30,,,,#b3261e,3-11,moderate,CRVI2,Crataegus viridis L.,Shrub,L48:N,Multiple Stem,Erect,Fine,Dense,Moderate,No,Yes,Yes,Yes,Early Spring,Spring and Summer,Spring,Fall,30.0,High,Low,High,No,Yes,Yes,4.3,7.3,no
missouri-gourd,Missouri gourd,Cucurbita foetidissima,mound,3-8,6-8,#e8d24a,,#5b7a4b,,,full-sun,low,"sandy,loamy,clay",,1,,,,#e8d24a,6-11,heavy,CUFO,Cucurbita foetidissima Kunth,Forb/herb,L48:N,Single Crown,Prostrate,Coarse,Porous,Porous,No,Yes,Yes,No,Summer,Spring and Summer,Summer,Fall,1.0,High,High,Low,Yes,Yes,Yes,7.0,8.8,no
tapertip-flatsedge,tapertip flatsedge,Cyperus acuminatus,grass,3-8,5,#5b7a4b,,#5b7a4b,,,part-sun,high,"loamy,clay",,1.3,,,,#5b7a4b,6-11,moderate,CYAC2,Cyperus acuminatus Torr. & Hook. ex Torr.,Graminoid,CAN:N|L48:N,Bunch,Erect,Fine,Porous,Porous,No,No,No,No,Late Spring,Spring and Summer,Summer,Fall,1.3,Medium,None,High,No,Yes,Yes,4.9,6.8,no
poorland-flatsedge,poorland flatsedge,Cyperus compressus,grass,6-11,8,#5b7a4b,,#5b7a4b,,,full-sun,medium,"sandy,loamy",,1,,,,#6b5a4a,9-11,moderate,CYCO,Cyperus compressus L.,Graminoid,HI:I|L48:N|PB:I|PR:N|VI:N,Bunch,Semi-Erect,Fine,Moderate,Porous,No,No,No,No,Late Summer,Summer and Fall,Fall,Fall,1.0,High,Low,Medium,Yes,Yes,No,5.0,6.5,no
redroot-flatsedge,redroot flatsedge,Cyperus erythrorhizos,grass,6-11,7,#5b7a4b,,,,,full-sun,medium,"sandy,loamy",,2.5,,,,#f1f1e2,6-11,heavy,CYER2,Cyperus erythrorhizos Muhl.,Graminoid,CAN:N|L48:N,Bunch,Erect,Coarse,Moderate,Porous,No,No,No,No,Mid Summer,Summer and Fall,Summer,Fall,2.5,High,Medium,Medium,Yes,Yes,No,5.0,6.5,no
yellow-nutsedge,yellow nutsedge,Cyperus esculentus,grass,6-11,7,#5b7a4b,,#5b7a4b,,,full-sun,low,"sandy,loamy,clay",,0.7,,,,#e8d24a,6-11,moderate,CYES,Cyperus esculentus L.,Graminoid,CAN:I|HI:I|L48:I|L48:N|PR:I|VI:I,Rhizomatous,Semi-Erect,Medium,Moderate,Porous,No,No,No,No,Mid Summer,Summer and Fall,Summer,Fall,0.7,High,Medium,Low,Yes,Yes,Yes,5.0,7.0,no
haspan-flatsedge,haspan flatsedge,Cyperus haspan,grass,3-5,5,#6b5a4a,,#5b7a4b,,,full-sun,medium,"sandy,loamy,clay",,3.2,,,,#f1f1e2,6-11,moderate,CYHA,Cyperus haspan L.,Graminoid,HI:I|L48:N|PB:N|PR:N,Bunch,Erect,Medium,Moderate,Porous,No,No,Yes,No,Late Spring,Spring,Summer,Fall,3.2,High,Low,Medium,Yes,Yes,Yes,4.5,7.5,no
fragrant-flatsedge,fragrant flatsedge,Cyperus odoratus,grass,6-11,8,#6b5a4a,,#5b7a4b,,,full-sun,medium,"sandy,loamy",,2,,,,#3a3a34,6-11,moderate,CYOD,Cyperus odoratus L.,Graminoid,CAN:N|HI:N|L48:N|PB:N|PR:N|VI:N,Bunch,Erect,Fine,Moderate,Porous,No,No,No,No,Late Summer,Summer and Fall,Summer,Fall,2.0,High,Low,Medium,Yes,Yes,No,5.0,8.3,no
manyspike-flatsedge,manyspike flatsedge,Cyperus polystachyos,grass,"3,4,5,9,10,11",7,#5b7a4b,,#5b7a4b,,,full-sun,medium,"sandy,loamy,clay",,1.6,,,,#6b5a4a,6-11,moderate,CYPO,Cyperus polystachyos Rottb.,Graminoid,HI:N|L48:N|PB:I|PB:N|PR:N|VI:N,Bunch,Semi-Erect,Fine,Moderate,Porous,No,No,No,No,Mid Summer,Spring and Fall,Summer,Fall,1.6,High,Low,Medium,Yes,Yes,Yes,4.5,6.5,no
