id,common_name,botanical_name,growth_shape,growing_season_months,flowering_season_months,flower_color,foliage_color_spring,foliage_color_summer,foliage_color_fall,foliage_color_winter,sun_pref,water_pref,soil_pref,width_ft,height_ft,inflorescence,flower_count_hint,flower_zone,fruit_color,fruit_season_months,fruit_load,usda_symbol,usda_scientific_name_full,usda_growth_habit,usda_native_status,usda_growth_form,usda_shape_and_orientation,usda_foliage_texture,usda_foliage_porosity_summer,usda_foliage_porosity_winter,usda_leaf_retention,usda_flower_conspicuous,usda_fruit_conspicuous,usda_fall_conspicuous,usda_bloom_period,usda_active_growth_period,usda_fruit_seed_period_begin,usda_fruit_seed_period_end,usda_height_mature_ft,usda_shade_tolerance,usda_drought_tolerance,usda_moisture_use,usda_soil_coarse,usda_soil_medium,usda_soil_fine,usda_ph_min,usda_ph_max,blackland_prairie
american-beautyberry,American beautyberry,Callicarpa americana,vase,3-8,6,#f1f1e2,,#5b7a4b,,,part-sun,low,"sandy,loamy,clay",,9,,,,#8f6fb3,6-11,heavy,CAAM2,Callicarpa americana L.,Shrub,L48:N,Multiple Stem,Semi-Erect,Medium,Dense,Moderate,No,Yes,Yes,Yes,Early Summer,Spring and Summer,Summer,Fall,9.0,Medium,Low,Low,Yes,Yes,Yes,5.8,7.2,yes
purple-poppymallow,purple poppymallow,Callirhoe involucrata,mound,3-8,4,#b3261e,,,,,full-sun,medium,"sandy,loamy",,1,,,,#6b5a4a,3-8,moderate,CAIN2,Callirhoe involucrata (Torr. & A. Gray) A. Gray,Forb/herb,L48:N,Stoloniferous,Decumbent,Coarse,Porous,Porous,No,Yes,No,No,Mid Spring,Spring and Summer,Spring,Summer,1.0,High,Medium,Medium,Yes,Yes,No,5.5,7.5,yes
yaupon,yaupon,Ilex vomitoria,vase,3-8,4,#f1f1e2,,#5b7a4b,,,part-sun,low,"sandy,loamy",,25,,,,#b3261e,,moderate,ILVO,Ilex vomitoria Aiton,Shrub,L48:N,Multiple Stem,Erect,Coarse,Moderate,Moderate,Yes,No,Yes,Yes,Mid Spring,Spring and Summer,,,25.0,Medium,High,Low,Yes,Yes,No,4.5,7.0,yes
trumpet-honeysuckle,trumpet honeysuckle,Lonicera sempervirens,low-climber,3-5,8,#b3261e,,#5b7a4b,,,shade,medium,"loamy,clay",,16,,,,#3a3a34,6-11,moderate,LOSE,Lonicera sempervirens L.,Vine,CAN:I|L48:N,Multiple Stem,Climbing,Medium,Dense,Dense,Yes,Yes,Yes,No,Late Summer,Spring,Summer,Fall,16.0,Low,Low,Medium,No,Yes,Yes,6.0,8.5,yes
